"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1400000US04013105300","Census Tract 1053; Maricopa County; Arizona","76096","22155",
"1400000US04013105400","Census Tract 1054; Maricopa County; Arizona","127750","55229",
"1400000US04013105501","Census Tract 1055.01; Maricopa County; Arizona","58015","10976",
"1400000US04013105502","Census Tract 1055.02; Maricopa County; Arizona","47691","6265",
"1400000US04013105503","Census Tract 1055.03; Maricopa County; Arizona","43731","4674",
"1400000US04013105601","Census Tract 1056.01; Maricopa County; Arizona","64375","24929",
"1400000US04013105602","Census Tract 1056.02; Maricopa County; Arizona","46625","8767",
"1400000US04013105701","Census Tract 1057.01; Maricopa County; Arizona","62807","9854",
"1400000US04013105702","Census Tract 1057.02; Maricopa County; Arizona","73036","14077",
"1400000US04013105800","Census Tract 1058; Maricopa County; Arizona","77337","15910",
"1400000US04013105900","Census Tract 1059; Maricopa County; Arizona","57037","17576",
"1400000US04013106001","Census Tract 1060.01; Maricopa County; Arizona","41813","10080",
"1400000US04013106002","Census Tract 1060.02; Maricopa County; Arizona","43974","3309",
"1400000US04013106003","Census Tract 1060.03; Maricopa County; Arizona","58393","14252",
"1400000US04013106100","Census Tract 1061; Maricopa County; Arizona","79858","8391",
"1400000US04013106200","Census Tract 1062; Maricopa County; Arizona","199475","18511",
"1400000US04013106300","Census Tract 1063; Maricopa County; Arizona","105571","16164",
"1400000US04013106400","Census Tract 1064; Maricopa County; Arizona","85438","20165",
"1400000US04013106501","Census Tract 1065.01; Maricopa County; Arizona","77071","11402",
"1400000US04013106502","Census Tract 1065.02; Maricopa County; Arizona","64111","9422",
"1400000US04013106600","Census Tract 1066; Maricopa County; Arizona","110811","31982",
"1400000US04013106701","Census Tract 1067.01; Maricopa County; Arizona","41858","7632",
"1400000US04013106702","Census Tract 1067.02; Maricopa County; Arizona","60787","21214",
"1400000US04013106703","Census Tract 1067.03; Maricopa County; Arizona","98125","21158",
"1400000US04013106801","Census Tract 1068.01; Maricopa County; Arizona","33402","3851",
"1400000US04013106802","Census Tract 1068.02; Maricopa County; Arizona","72763","26373",
"1400000US04013106900","Census Tract 1069; Maricopa County; Arizona","73250","24973",
"1400000US04013107001","Census Tract 1070.01; Maricopa County; Arizona","52412","21875",
"1400000US04013107002","Census Tract 1070.02; Maricopa County; Arizona","64704","18232",
"1400000US04013107101","Census Tract 1071.01; Maricopa County; Arizona","82533","14874",
"1400000US04013107102","Census Tract 1071.02; Maricopa County; Arizona","51851","11559",
"1400000US04013107201","Census Tract 1072.01; Maricopa County; Arizona","-","**",
"1400000US04013107202","Census Tract 1072.02; Maricopa County; Arizona","62230","11152",
"1400000US04013107300","Census Tract 1073; Maricopa County; Arizona","47986","17608",
"1400000US04013107401","Census Tract 1074.01; Maricopa County; Arizona","74625","38391",
"1400000US04013107402","Census Tract 1074.02; Maricopa County; Arizona","40676","15092",
"1400000US04013107403","Census Tract 1074.03; Maricopa County; Arizona","-","**",
"1400000US04013107404","Census Tract 1074.04; Maricopa County; Arizona","19556","7499",
"1400000US04013107500","Census Tract 1075; Maricopa County; Arizona","114719","23257",
"1400000US04013107601","Census Tract 1076.01; Maricopa County; Arizona","47763","14448",
"1400000US04013107602","Census Tract 1076.02; Maricopa County; Arizona","99265","19985",
"1400000US04013107700","Census Tract 1077; Maricopa County; Arizona","88684","20161",
"1400000US04013107800","Census Tract 1078; Maricopa County; Arizona","111576","28907",
"1400000US04013107900","Census Tract 1079; Maricopa County; Arizona","104671","16991",
"1400000US04013108000","Census Tract 1080; Maricopa County; Arizona","231667","68167",
"1400000US04013108100","Census Tract 1081; Maricopa County; Arizona","96601","52936",
"1400000US04013108200","Census Tract 1082; Maricopa County; Arizona","95781","32977",
"1400000US04013108301","Census Tract 1083.01; Maricopa County; Arizona","136020","31409",
"1400000US04013108302","Census Tract 1083.02; Maricopa County; Arizona","86151","21768",
"1400000US04013108400","Census Tract 1084; Maricopa County; Arizona","81000","17790",
"1400000US04013108501","Census Tract 1085.01; Maricopa County; Arizona","71085","6384",
"1400000US04013108502","Census Tract 1085.02; Maricopa County; Arizona","113205","8955",
"1400000US04013108601","Census Tract 1086.01; Maricopa County; Arizona","51164","23751",
"1400000US04013108602","Census Tract 1086.02; Maricopa County; Arizona","57021","11086",
"1400000US04013108802","Census Tract 1088.02; Maricopa County; Arizona","61667","15354",
"1400000US04013108901","Census Tract 1089.01; Maricopa County; Arizona","69167","29321",
"1400000US04013108902","Census Tract 1089.02; Maricopa County; Arizona","54429","4807",
"1400000US04013109001","Census Tract 1090.01; Maricopa County; Arizona","45662","14691",
"1400000US04013109002","Census Tract 1090.02; Maricopa County; Arizona","45288","11920",
"1400000US04013109003","Census Tract 1090.03; Maricopa County; Arizona","43228","9034",
"1400000US04013109101","Census Tract 1091.01; Maricopa County; Arizona","53781","14931",
