,ID,Property price (USD),Sold date (MM/DD/YYYY),Address,Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,AC,FormattedAddress,Longitude,Latitude
8999,9000,280000,3/30/2021,"7964 W Mackenzie Dr, Phoenix, AZ, 85033",1222.0,sqft,229.13,7004.0,sqft,3.0,2.0,7964 W Mackenzie Dr,Phoenix,85033,1,"7964 W MACKENZIE DR, PHOENIX, AZ, 85033",-112.23153584364661,33.49638864585978
9000,9001,280000,5/4/2021,"6955 W Monterey Way, Phoenix, AZ, 85033",1411.0,sqft,198.44,7283.0,sqft,3.0,2.0,6955 W Monterey Way,Phoenix,85033,1,"6955 W MONTEREY WAY, PHOENIX, AZ, 85033",-112.20980690953371,33.4842328453052
9001,9002,280000,7/16/2021,"9046 W Hubbell St, Phoenix, AZ, 85037",1492.0,sqft,187.67,4495.0,sqft,3.0,2.0,9046 W Hubbell St,Phoenix,85037,1,"9046 W HUBBELL ST, PHOENIX, AZ, 85037",-112.2541999693857,33.46966169393261
9002,9003,280000,12/23/2021,"2618 N 86th Dr, Phoenix, AZ, 85037",1153.0,sqft,242.84,6957.0,sqft,,2.0,2618 N 86th Dr,Phoenix,85037,1,"2618 N 86TH DR, PHOENIX, AZ, 85037",-112.2457221364628,33.476939772855815
9003,9004,280000,8/17/2023,"10419 W Reade Ave, Glendale, AZ, 85307",1111.0,sqft,252.03,4953.0,sqft,3.0,2.0,10419 W Reade Ave,Glendale,85307,1,"10419 W READE AVE, GLENDALE, AZ, 85307",-112.28390048647213,33.50947807294477
9004,9005,280000,6/2/2021,"5405 N 104th Dr, Glendale, AZ, 85307",2178.0,sqft,128.56,7701.0,sqft,4.0,3.0,5405 N 104th Dr,Glendale,85307,1,"5405 N 104TH DR, GLENDALE, AZ, 85307",-112.28328121522168,33.51407172795189
9005,9006,280000,7/23/2021,"11202 W Montecito Ave, Phoenix, AZ, 85037",1089.0,sqft,257.12,4200.0,sqft,3.0,2.0,11202 W Montecito Ave,Phoenix,85037,1,"11202 W MONTECITO AVE, PHOENIX, AZ, 85037",-112.29992270852358,33.49768642554352
9006,9007,280000,9/1/2021,"6137 W Crittenden Ln, Phoenix, AZ, 85033",950.0,sqft,294.74,7000.0,sqft,2.0,1.0,6137 W Crittenden Ln,Phoenix,85033,1,"6137 W CRITTENDEN LN, PHOENIX, AZ, 85033",-112.19329616169478,33.488355140357555
9007,9008,280000,4/16/2021,"2237 N 62nd Ave, Phoenix, AZ, 85035",1697.0,sqft,165.0,8647.0,sqft,4.0,2.0,2237 N 62nd Ave,Phoenix,85035,1,"2237 N 62ND AVE, PHOENIX, AZ, 85035",-112.19273679470024,33.472551281471624
9008,9009,280000,3/15/2024,"2920 N 54th Dr, Phoenix, AZ, 85031",1649.0,sqft,169.8,7514.0,sqft,4.0,2.0,2920 N 54th Dr,Phoenix,85031,1,"2920 N 54TH DR, PHOENIX, AZ, 85031",-112.17622286938263,33.48077788052359
